[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: disabled_hints, near line: 193
[19:56:08][gameobjectlocators.cpp:157]: map object locator "port" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "fort" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "unit_stack" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "combat" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "vfx" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "wonder_lighthouse_of_pharos" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "wonder_giza" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "wonder_halicarnassus" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "wonder_tomb_of_alexander" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "wonder_colossus" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "wonder_dodona_oracle" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "wonder_library_of_alexandria" is incomplete!
[19:56:08][gameobjectlocators.cpp:157]: map object locator "volcano_eruption" is incomplete!
[19:56:09][jomini_eventmanager.h:62]: 'war_council.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'war_council.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'warfare.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'desecration.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.6' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.7' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'games.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.5' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.4' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.10' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'state_improvement.11' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'assembly.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.4' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.9' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.5' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.6' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.7' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.8' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.10' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.11' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.13' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.14' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.15' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'tutorial.16' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.9' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.10' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.14' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.15' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.4' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.5' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.6' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.7' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.11' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.17' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.18' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.21' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.22' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.21' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.23' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.6' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.18' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.4' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.5' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.6' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.7' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.8' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.9' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.10' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.11' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.14' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.15' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.13' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.16' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.19' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.21' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'family_revolt.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.4' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.5' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.6' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.7' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.8' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.9' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.10' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.11' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.13' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.14' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.15' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.16' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.17' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.18' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.19' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'gov_pol.9' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.10' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.35' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'succession_crisis.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'character_events.48' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'holding_mech.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'ip_monarchy.52' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'ip_monarchy.49' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.73' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_1_black_sea.13' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_3_italiote.26' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_4_west.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_macedon.7' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'ip_monarchy.39' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'character_events.35' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.27' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'ip_monarchy.52' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.73' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_1_black_sea.13' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_3_italiote.26' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_4_west.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'succession_crisis.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.73' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_1_black_sea.13' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_3_italiote.26' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_greek_4_west.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_macedon.7' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_macedon.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_macedon.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'country_rename.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'flavor_epi.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.40' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'flavor_syr.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'flavor_syr.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'olympic.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_roman_1_roman_italia.26' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.21' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'slave_revolts.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.33' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'dhe_dde_pyrrhus.36' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'slave_revolts.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'slave_revolts.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'annexation.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'me_syracuse_1_democracy.60' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'annexation.5' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'annexation.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'storm.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'storm.11' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'storm.21' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'storm.25' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'desecration.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'desecration.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'desecration.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'family_events.8' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'family_events.8' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'royal_marriage.6' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'befriend.10' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'gladiator.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'olympic.7' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'warfare.3' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'trial.1' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'character_events.50' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'character_events.51' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'royal_marriage.2' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.16' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.24' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'scheme.24' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'influence.6' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'character_events.38' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'country_diplomacy.8' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'cultural_integration.10' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'cultural_integration.11' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objective_roman.20' does not have a valid namespace
[19:56:09][jomini_eventmanager.h:62]: 'senate_objectives.12' does not have a valid namespace
[19:56:09][jomini_script_object.cpp:35]:  file: common/customizable_localization/00_spartan_mission_custom_loc.txt line: 783: owns: target: Value '416' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/customizable_localization/00_spartan_mission_custom_loc.txt line: 783
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name neapolis_area ]
  Script location: file: tutorial/00_tutorial.txt line: 398
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: tutorial/00_tutorial.txt line: 398
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name south_etruria_area ]
  Script location: file: tutorial/00_tutorial.txt line: 517
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: tutorial/00_tutorial.txt line: 517
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name croton_area ]
  Script location: file: tutorial/00_tutorial.txt line: 609
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: tutorial/00_tutorial.txt line: 609
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name heraclea_area ]
  Script location: file: tutorial/00_tutorial.txt line: 610
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: tutorial/00_tutorial.txt line: 610
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name cannae_area ]
  Script location: file: tutorial/00_tutorial.txt line: 611
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: tutorial/00_tutorial.txt line: 611
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name tarentum_area ]
  Script location: file: tutorial/00_tutorial.txt line: 612
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: tutorial/00_tutorial.txt line: 612
[19:56:09][jomini_script_object.cpp:35]:  file: common/on_action/00_custom_on_actions.txt line: 313: owns: target: Value '439' is invalid: 'scope type none, expected province' or 'not valid province id'
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'owns' returned false at  file: common/on_action/00_custom_on_actions.txt line: 313
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name neapolis_area ]
  Script location: file: common/on_action/00_custom_on_actions.txt line: 907
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/on_action/00_custom_on_actions.txt line: 907
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name cannae_area ]
  Script location: file: common/on_action/00_custom_on_actions.txt line: 908
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/on_action/00_custom_on_actions.txt line: 908
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name tarentum_area ]
  Script location: file: common/on_action/00_custom_on_actions.txt line: 909
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/on_action/00_custom_on_actions.txt line: 909
[19:56:09][jomini_script_system.cpp:169]: Script system error!
  Error: is_in_area trigger [ Invalid area name heraclea_area ]
  Script location: file: common/on_action/00_custom_on_actions.txt line: 910
[19:56:09][jomini_trigger.cpp:202]: PostValidate of trigger 'is_in_area' returned false at  file: common/on_action/00_custom_on_actions.txt line: 910
